"","x"
"1",-1.72
"2",1.2
"3",2.05
"4",2.8
"5",0.84
"6",2.79
"7",1.01
"8",2.82
"9",1.25
"10",2.85
"11",2.3
"12",1.61
"13",1.36
"14",1.7
"15",5.04
"16",3.33
"17",0.75
"18",0.76
"19",1.62
"20",1.91
"21",3.25
"22",4.03
"23",2.21
"24",2.97
"25",1.04
"26",3.93
"27",1.86
"28",2.58
"29",1
"30",0.95
"31",4.07
"32",-0.69
"33",2.56
"34",2.1
"35",5.52
"36",-0.54
"37",-1.48
"38",2.42
"39",0.3
"40",1.53
"41",0.84
"42",1.71
"43",2.46
"44",1.04
"45",2.31
"46",5.88
"47",2.72
"48",2.98
"49",4.34
"50",2.99
"51",3.06
"52",2.38
"53",5.58
"54",1.99
"55",0.59
"56",4.49
"57",1.21
"58",1.74
"59",-1.03
"60",2.91
"61",2.27
"62",5.53
"63",3.12
"64",4.02
"65",2.63
"66",2.84
"67",-1.13
"68",1.14
"69",1.69
"70",3.5
"71",2.93
"72",0.28
"73",2.78
"74",5.72
"75",5.43
"76",2.3
"77",4.35
"78",0.45
"79",3.31
"80",1.66
"81",2.25
"82",2.71
"83",2.02
"84",1.42
"85",0.32
"86",0.28
"87",2.94
"88",-0.53
"89",5.05
"90",-0.26
"91",2.53
"92",1.69
"93",3.04
"94",1.36
"95",1.8
"96",1.33
"97",1
"98",2.39
"99",0.24
"100",1.98
